Scan Type,State/Territory,All Scans,Executive Order Number,Executive Order Year Enacted,Executive Order Summary,Executive Order Last Topic tag(s),Executive Order Last Updated,Executive Order Record URL,Bill Number,Legislative Session,Bill Title,Bill Summary,Bill Action tag(s) [multi],Bill Action tag(s) text,Bill Topic Tag(s) [multi],Bill Topic Tag(s) text,Bill Status,Bill Link,Bill Last Updated,Bill Record URL
Executive Order,Nevada,Executive Order 2013-10 (2013),Executive Order 2013-10 (2013),2013,"EO 2013-10 (2013) by Gov. Brian Sandoval re: establishment of a program for hiring people with disabilities into the state workforce, including (among other things) surveying all state-sponsored websites, applications, and online services to ensure accessibility to people with disabilites","website/portal, accessibility",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recvNiLoAx6xm52ga,,,,,,,,,,,,
Executive Order,Nevada,Executive Order 2013-10 (2013),Executive Order 2013-10 (2013),2013,"EO 2013-10 (2013) by Gov. Brian Sandoval re: establishment of a program for hiring people with disabilities into the state workforce, including (among other things) surveying all state-sponsored websites, applications, and online services to ensure accessibility to people with disabilites","website/portal, accessibility",9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recvNiLoAx6xm52ga,,,,,,,,,,,,
Executive Order,Nevada,Executive Order 2022-11 (2022),Executive Order 2022-11 (2022),2022,EO 2022-11 (2022) by Gov. Steve Sisolak re: establishment of the Cyber Security Task force to address cybersecurity risks and cybersecurity threats to information systems owned or operated by the State or local government,cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recgdGVouiha4ZVQs,,,,,,,,,,,,
Executive Order,Nevada,Executive Order 2015-23 (2015),Executive Order 2015-23 (2015),2015,EO 2015-23 (2015) by Gov. Brian Sandoval re: re-establishment of the Nevada Broadband Taskforce to support improved technology in schools and expanded broadband infrastructure across the state,broadband,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recpmVhKlfeyX2Mpw,,,,,,,,,,,,
Executive Order,Nevada,Executive Order 2014-01 (2014),Executive Order 2014-01 (2014),2014,EO 2014-01 (2014) by Gov. Brian Sandoval re: establishment of the Nevada Public Safety Communications Committee to advise on and advance the compatibility and interoperability of information and communication systems used by response agencies within the state,"interoperability, public safety, information technology",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recvNXpAsrub6ViS0,,,,,,,,,,,,
Executive Order,Nevada,Executive Order 2015-23 (2015),Executive Order 2015-23 (2015),2015,EO 2015-23 (2015) by Gov. Brian Sandoval re: re-establishment of the Nevada Broadband Taskforce to support improved technology in schools and expanded broadband infrastructure across the state,broadband,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recpmVhKlfeyX2Mpw,,,,,,,,,,,,
Executive Order,Nevada,Executive Order 2022-11 (2022),Executive Order 2022-11 (2022),2022,EO 2022-11 (2022) by Gov. Steve Sisolak re: establishment of the Cyber Security Task force to address cybersecurity risks and cybersecurity threats to information systems owned or operated by the State or local government,cybersecurity,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recgdGVouiha4ZVQs,,,,,,,,,,,,
Executive Order,Nevada,Executive Order 2014-01 (2014),Executive Order 2014-01 (2014),2014,EO 2014-01 (2014) by Gov. Brian Sandoval re: establishment of the Nevada Public Safety Communications Committee to advise on and advance the compatibility and interoperability of information and communication systems used by response agencies within the state,"interoperability, public safety, information technology",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recvNXpAsrub6ViS0,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2022-01 (2022),Executive Order 2022-01 (2022),2022,EO 2022-01 (2022) by Gov. Christopher Sununu re: establishment of the Commission of Cryptocurrencies and Digital Assets to (among other things) make recommendations for new (or improvements to existing) legislation and regulation of cryptocurrencies and other digital assets,blockchain,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recpADKdmrNygJwIg,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2013-07 (2013),Executive Order 2013-07 (2013),2013,"EO 2013-07 (2013) by Gov. Margaret Wood Hassan re: creation of the Commission on State Government Innovation, Efficiency, and Transparency intended to (among other things) make recommendations for improving government processes, including the use of technology, to enhance the ability of state government to use resources efficiently and better serve the public",technology modernization,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recjoJ1spl1UKWgsT,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2014-04 (2014),Executive Order 2014-04 (2014),2014,EO 2014-04 (2014) by Gov. Margaret Wood Hassan re: directive to agencies to move all possible business-related forms into an online format through the Business One Stop,website/portal,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reccvkJjEuTlHOT3W,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2016-06 (2016),Executive Order 2016-06 (2016),2016,"EO 2016-06 (2016) by Gov. Margaret Wood Hassan re: establishment of Cybersecurity Integration Center (within the Department of Information Technology) to serve as the unified statewide center for coordinating cybersecurity activities, and the Executive Oversight Committee to oversee the Center's operations and governance",cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reca1P7kcj5cYoQWD,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2022-01 (2022),Executive Order 2022-01 (2022),2022,EO 2022-01 (2022) by Gov. Christopher Sununu re: establishment of the Commission of Cryptocurrencies and Digital Assets to (among other things) make recommendations for new (or improvements to existing) legislation and regulation of cryptocurrencies and other digital assets,blockchain,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recpADKdmrNygJwIg,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2016-06 (2016),Executive Order 2016-06 (2016),2016,"EO 2016-06 (2016) by Gov. Tom Wolf re: establishment of an enterprise information technology (IT) governance structure within the Office of Administration to govern, evaluate, coordinate, and improve IT planning, research, security, policy, governance, project prioritization, investment, and effectiveness","administrative reorganization, information technology",8/22/2025 8:27am,https://airtable.com/appJHkVlGCmNLPLXL/shrgJGUVetGt8zzWW/tblFh8L3QnynXlssD/viwda1KinnFJMhmX4/rec492IzL6YtEPBZN,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2014-04 (2014),Executive Order 2014-04 (2014),2014,EO 2014-04 (2014) by Gov. Margaret Wood Hassan re: directive to agencies to move all possible business-related forms into an online format through the Business One Stop,website/portal,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reccvkJjEuTlHOT3W,,,,,,,,,,,,
Executive Order,New Hampshire,Executive Order 2013-07 (2013),Executive Order 2013-07 (2013),2013,"EO 2013-07 (2013) by Gov. Margaret Wood Hassan re: creation of the Commission on State Government Innovation, Efficiency, and Transparency intended to (among other things) make recommendations for improving government processes, including the use of technology, to enhance the ability of state government to use resources efficiently and better serve the public",technology modernization,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recjoJ1spl1UKWgsT,,,,,,,,,,,,
Legislation,New Hampshire,H 1688,,,,,,,H 1688,2024,Artificial Intelligence,"Relates to the use of AI by state agencies; prohibits state agencies from using AI to manipulate, discriminate against or surveil members of the public. ",regulate use - government,regulate use - government,"artificial intelligence,civil rights","artificial intelligence, civil rights",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2023000H1688&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:35pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recKTodGCxop2xEMo
Executive Order,New Jersey,Executive Order 9 (2018),Executive Order 9 (2018),2018,"EO 9 (2018) by Gov. Philip Murphy re: requirement that all future contracts for Internet, data, and telecommunications be awarded only to ISPs that adhere to net neutrality principles",net neutrality,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reck5e4KWPv5cifn7,,,,,,,,,,,,
Executive Order,New Jersey,Executive Order 44 (2018),Executive Order 44 (2018),2018,EO 44 (2018) by Gov. Philip Murphy re: directive to the Cybersecurity and Communications Integration Cell to coordinate all cybersecurity efforts necessary to protect and secure the State’s elections infrastructure from cybersecurity threats,cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recc8L3c7kJx1a00a,,,,,,,,,,,,
Executive Order,New Jersey,Executive Order 178 (2015),Executive Order 178 (2015),2015,"EO 178 (2015) by Gov. Chris Christie re: establishment of the New Jersey Cybersecurity and Communications Integration Cell as the central state civilian interface for coordinating cybersecurity information sharing, performing cybersecurity threat analysis, and promoting shared and real-time situational awareness between and among the public and private sectors","cybersecurity, data sharing",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recx4Bc3gZuIlABRV,,,,,,,,,,,,
Executive Order,New Jersey,Executive Order 9 (2018),Executive Order 9 (2018),2018,"EO 9 (2018) by Gov. Philip Murphy re: requirement that all future contracts for Internet, data, and telecommunications be awarded only to ISPs that adhere to net neutrality principles",net neutrality,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reck5e4KWPv5cifn7,,,,,,,,,,,,
Executive Order,New Jersey,Executive Order 178 (2015),Executive Order 178 (2015),2015,"EO 178 (2015) by Gov. Chris Christie re: establishment of the New Jersey Cybersecurity and Communications Integration Cell as the central state civilian interface for coordinating cybersecurity information sharing, performing cybersecurity threat analysis, and promoting shared and real-time situational awareness between and among the public and private sectors","cybersecurity, data sharing",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recx4Bc3gZuIlABRV,,,,,,,,,,,,
Executive Order,New Jersey,Executive Order 225 (2017),Executive Order 225 (2017),2017,EO 225 (2017) by Gov. Chris Christie re: directive to the Chief Technology Officer to decentralize software development and maintenance functions and operations for agency-specific applications that do not serve shared business requirements across the Executive Branch,"administrative reorganization, shared services",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recbMZ4r0wNMV3YZk,,,,,,,,,,,,
Executive Order,New Jersey,Executive Order 44 (2018),Executive Order 44 (2018),2018,EO 44 (2018) by Gov. Philip Murphy re: directive to the Cybersecurity and Communications Integration Cell to coordinate all cybersecurity efforts necessary to protect and secure the State’s elections infrastructure from cybersecurity threats,cybersecurity,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recc8L3c7kJx1a00a,,,,,,,,,,,,
Executive Order,New Jersey,Executive Order 225 (2017),Executive Order 225 (2017),2017,EO 225 (2017) by Gov. Chris Christie re: directive to the Chief Technology Officer to decentralize software development and maintenance functions and operations for agency-specific applications that do not serve shared business requirements across the Executive Branch,"administrative reorganization, shared services",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recbMZ4r0wNMV3YZk,,,,,,,,,,,,
Legislation,New Jersey,S 2723,,,,,,,S 2723,2021,21st Century Integrated Digital Experience Act,Concerns the 21st Century Integrated Digital Experience Act.,regulate use - government,regulate use - government,artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2020000S2723&ciq=ncsl&client_md=ad36d8f1b0e8865874948f65eb323603&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recBy27fTKYoiQEOS
Executive Order,New Mexico,Executive Order 2014-001 (2014),Executive Order 2014-001 (2014),2014,"EO 2014-001 (2014) by Gov. Susana Martinez re: ensuring a coordinated and integrated system of service delivery by the  Children, Youth and Families Department (CYFD), which includes (among other things) a directive that the Department of Information Technology review and analyze the information technology system including, specifically, the case management and reporting system for CYFD and determine what, if any, updates could be provided to the current system in order to allow for it to interface with the Department of Public Safety","technology modernization, interoperability",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recZQzN1GPMssnasm,,,,,,,,,,,,
Executive Order,New Mexico,Executive Order 2014-001 (2014),Executive Order 2014-001 (2014),2014,"EO 2014-001 (2014) by Gov. Susana Martinez re: ensuring a coordinated and integrated system of service delivery by the  Children, Youth and Families Department (CYFD), which includes (among other things) a directive that the Department of Information Technology review and analyze the information technology system including, specifically, the case management and reporting system for CYFD and determine what, if any, updates could be provided to the current system in order to allow for it to interface with the Department of Public Safety","technology modernization, interoperability",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recZQzN1GPMssnasm,,,,,,,,,,,,
Executive Order,New York,Executive Order 175 (2018),Executive Order 175 (2018),2018,EO 175 (2018) by Gov. Andrew Cuomo re: ensuring net neutrality protections for New Yorkers,net neutrality,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recFrM5mEgGLkJfZM,,,,,,,,,,,,
Executive Order,New York,Executive Order 95 (2013),Executive Order 95 (2013),2013,"EO 95 (2013) by Gov. Andrew Cuomo re: using technology to promote transparency, improve government performance, and enhance citizen engagement",technology modernization,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recK4P2xIPsL4DnBu,,,,,,,,,,,,
Executive Order,New York,Executive Order 175 (2018),Executive Order 175 (2018),2018,EO 175 (2018) by Gov. Andrew Cuomo re: ensuring net neutrality protections for New Yorkers,net neutrality,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recFrM5mEgGLkJfZM,,,,,,,,,,,,
Executive Order,New York,Executive Order 95 (2013),Executive Order 95 (2013),2013,"EO 95 (2013) by Gov. Andrew Cuomo re: using technology to promote transparency, improve government performance, and enhance citizen engagement",technology modernization,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recK4P2xIPsL4DnBu,,,,,,,,,,,,
Legislation,New York,A 8808,,,,,,,A 8808,2024,Transportation and Economic Development Budget,"Enacts into law major components of legislation necessary to implement the state transportation, economic development and environmental conservation budget for the specified state fiscal year. Amends the economic development law and the urban development corporation act, in relation to establishing the New York State Empire Artificial Intelligence Research Program and the empire AI consortium; and in relation to the plan of operation and financial oversight of the empire AI consortium; and provides for the repeal of certain provisions upon expiration thereof (Subpart A); and authorizes the state university of New York at Buffalo to lease a portion of lands to the empire AI consortium to create and launch a state-of-the-art AI computing center (Subpart B) (Part TT).",regulate use - government,regulate use - government,"artificial intelligence,education","artificial intelligence, education",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A8808&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:36pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recBP9kiwu6B5Mufd
Executive Order,North Carolina,Executive Order 12 (2013),Executive Order 12 (2013),2013,EO 12 (2013) by Gov. Pat McCrory re: mandate to treat all e-mail messages sent or received by public servants in connection with the transaction of public business as public records to be handled and maintained in compliance with the Public Records Law and records retention schedules in the same manner as paper documents or other tangible records,public records,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recJcSmIjNxyrYm8d,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 249 (2022),Executive Order 249 (2022),2022,EO 249 (2022) by Gov. Roy Cooper re: establishment of the North Carolina Longitudinal Data System Governance Board to (among other things) implement the recommendations on interoperability and modernization of the state's longitudinal data system,"interoperability, technology modernization",9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reclEr9HBfKuq6TdU,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 12 (2013),Executive Order 12 (2013),2013,EO 12 (2013) by Gov. Pat McCrory re: mandate to treat all e-mail messages sent or received by public servants in connection with the transaction of public business as public records to be handled and maintained in compliance with the Public Records Law and records retention schedules in the same manner as paper documents or other tangible records,public records,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recJcSmIjNxyrYm8d,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 30 (2013),Executive Order 30 (2013),2013,"EO 30 (2013) by Gov. Pat McCrory re: directive to fix and  modernize information technology governance in cabinet agencies by collaborating as ""ONE IT"", further aligning the management and operations of the cabinet agency IT resources to improve efficiency (terminated 2015)",administrative reorganization,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recnwNBB2mFXssCKv,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 249 (2022),Executive Order 249 (2022),2022,EO 249 (2022) by Gov. Roy Cooper re: establishment of the North Carolina Longitudinal Data System Governance Board to (among other things) implement the recommendations on interoperability and modernization of the state's longitudinal data system,"interoperability, technology modernization",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reclEr9HBfKuq6TdU,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 254 (2022),Executive Order 254 (2022),2022,EO 254 (2022) by Gov. Roy Cooper re: establishment of the Joint Cybersecurity Task Force to protect the state's critical information technology infrastructure and resources,cybersecurity,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/receFv7LMFew6Gxh9,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 91 (2013),Executive Order 91 (2013),2019,"EO 91 (2019) by Gov. Roy Cooper re: establishment of the Task Force on Connecting North Carolina, promoting expansion of access to high-speed internet, and removing barriers to broadband infrastructure installation",broadband,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recHUJ9FcioJzUQjj,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 91 (2013),Executive Order 91 (2013),2019,"EO 91 (2019) by Gov. Roy Cooper re: establishment of the Task Force on Connecting North Carolina, promoting expansion of access to high-speed internet, and removing barriers to broadband infrastructure installation",broadband,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recHUJ9FcioJzUQjj,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 254 (2022),Executive Order 254 (2022),2022,EO 254 (2022) by Gov. Roy Cooper re: establishment of the Joint Cybersecurity Task Force to protect the state's critical information technology infrastructure and resources,cybersecurity,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/receFv7LMFew6Gxh9,,,,,,,,,,,,
Executive Order,North Carolina,Executive Order 30 (2013),Executive Order 30 (2013),2013,"EO 30 (2013) by Gov. Pat McCrory re: directive to fix and  modernize information technology governance in cabinet agencies by collaborating as ""ONE IT"", further aligning the management and operations of the cabinet agency IT resources to improve efficiency (terminated 2015)",administrative reorganization,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recnwNBB2mFXssCKv,,,,,,,,,,,,
Legislation,North Carolina,H 259,,,,,,,H 259,2023,Base Budget Appropriations ,"Makes base budget appropriations for current operations of state agencies, departments, and institutions; appropriates $3.2 million for the 2023-2024 fiscal year as a directed grant to New Hanover County Schools and $2 million as a directed grant to Davidson County Schools for an AI School Safety Pilot Program.","regulate use - government,appropriation","regulate use - government, appropriation",artificial intelligence,artificial intelligence,Enacted,,9/3/2025 12:33pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recGEj0gPPB2EgLJj
Executive Order,North Dakota,Executive Order 2017-15 (2017),Executive Order 2017-15 (2017),2017,"EO 2017-15 (2017) by Gov. Doug Burgham re: establishment of the Innovative Education Task Force intended to promote best practices to provide an equitable and effective 21st century education, including through the use of technology tools and platforms",education,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recOUT44VoHVucrXz,,,,,,,,,,,,
Executive Order,North Dakota,Executive Order 2017-15 (2017),Executive Order 2017-15 (2017),2017,"EO 2017-15 (2017) by Gov. Doug Burgham re: establishment of the Innovative Education Task Force intended to promote best practices to provide an equitable and effective 21st century education, including through the use of technology tools and platforms",education,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recOUT44VoHVucrXz,,,,,,,,,,,,
Legislation,North Dakota,H 1003,,,,,,,H 1003,2023,University System Expenses Appropriation ,"Appropriates funds for defraying the expenses of the North Dakota university system, provides an appropriation to the Bank of North Dakota, relates to an economic diversification research fund, matching grants for agricultural research and extension, the Bismarck State College Polytechnic Center, a report on higher education trends, disclosure of financial condition, and a minimum amount payable, relates to the Skilled Workforce Student Loan Repayment Program and the Skilled Workforce Scholarship Program. ","regulate use - government,regulate use - private sector,regulate use - health,study,appropriation","regulate use - government, regulate use - private sector, regulate use - health, study, appropriation","artificial intelligence,education,agriculture,labor/workforce","artificial intelligence, education, agriculture, labor/workforce",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2023000H1003&ciq=ncsl&client_md=bfe56c9398c2910e7fd54e2c983bb2e2&mode=current_text,9/3/2025 12:33pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recZPOspRsSmRoBtF
Executive Order,Northern Mariana Islands,Executive Directive 2023-003 (2023),Executive Directive 2023-003 (2023),2023,"EO 2023-003 (2023) by Gov. Arnold Palacios re: establishment of the position of Special Assistant for Broadband Policy and Development within the Office of the Governor to head the operation and administration of a Broadband Policy and Development Program that will improve the quality of life of its residents through equitable access to reliable, affordable high-speed internet, and the social, educational, healthcare, and economic benefits provided thereby","broadband, administrative reorganization",9/25/2025 6:28am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec3R0BLaEm9gSQ37,,,,,,,,,,,,
Executive Order,Northern Mariana Islands,Executive Directive 2023-003 (2023),Executive Directive 2023-003 (2023),2023,"EO 2023-003 (2023) by Gov. Arnold Palacios re: establishment of the position of Special Assistant for Broadband Policy and Development within the Office of the Governor to head the operation and administration of a Broadband Policy and Development Program that will improve the quality of life of its residents through equitable access to reliable, affordable high-speed internet, and the social, educational, healthcare, and economic benefits provided thereby","broadband, administrative reorganization",9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec3R0BLaEm9gSQ37,,,,,,,,,,,,
Executive Order,Ohio,Executive Order 2018-06-K (2018),Executive Order 2018-06-K (2018),2018,EO 2018-06K (2018) by Gov. John Kasich re: establishment of the Technology First Initiative and the Ohio Technology First Council to Expand the Use of Supportive Technology for Individuals with Developmental Disability,accessibility,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recqkAlpjwFRVkk8i,,,,,,,,,,,,
Executive Order,Ohio,Executive Order 2022-07D (2022),Executive Order 2022-07D (2022),2022,EO 2022-07D (2022) by Gov. Mike DeWine re: creation of the Cybersecurity Strategic Advisor to coordinate the state’s efforts to protect state’s information technology infrastructure (among other things),cybersecurity,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recblDAVBufT7cgcD,,,,,,,,,,,,
Executive Order,Ohio,Executive Order 2018-06-K (2018),Executive Order 2018-06-K (2018),2018,EO 2018-06K (2018) by Gov. John Kasich re: establishment of the Technology First Initiative and the Ohio Technology First Council to Expand the Use of Supportive Technology for Individuals with Developmental Disability,accessibility,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recqkAlpjwFRVkk8i,,,,,,,,,,,,
Executive Order,Ohio,Executive Order 2019-15D (2019),Executive Order 2019-15D (2019),2019,"EO 2019-15D (2019) by Gov. Mike DeWine re: modernizing information technology systems in state agencies via InnovateOhio to provide a common digital platform for state agencies and programs and a definitive digital identity, and to facilitate data-sharing across agencies and programs to better serve the public","digital identity, website/portal",9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recxKlCrKOr8JcBb7,,,,,,,,,,,,
Executive Order,Ohio,Executive Order 2018-01K (2018),Executive Order 2018-01K (2018),2018,"EO 2018-01K (2018) by Gov. John Kasich re: establishment of DriveOhio as the statewide center for advancing smart mobility to (among other things) develop objectives, goals, and policies for the state to leverage its infrastructure and incorporate technology that will improve safety, planning, and capacity for the benefit of the traveling public, business, and the state (reauthorized 2019 by Gov. Mike DeWine)",transportation/mobility,9/25/2025 6:27am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recSyd3vWamLN30y4,,,,,,,,,,,,
Executive Order,Ohio,Executive Order 2019-23D (2019),Executive Order 2019-23D (2019),2019,EO 2019-23D (2019) by Gov. Mike DeWine re: continuance and reauthorization of the Statewide Interoperability Executive Committee to ensure and improve the (inter)operability of public safety voice and data communications systems,"interoperability, public records",9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recKja6zL5ttflb7l,,,,,,,,,,,,
Executive Order,Ohio,Executive Order 2022-07D (2022),Executive Order 2022-07D (2022),2022,EO 2022-07D (2022) by Gov. Mike DeWine re: creation of the Cybersecurity Strategic Advisor to coordinate the state’s efforts to protect state’s information technology infrastructure (among other things),cybersecurity,9/3/2025 11:31am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recblDAVBufT7cgcD,,,,,,,,,,,,
